id,rfm_r,rfm_f,rfm_m
5,33877,2,21960.0
149,34021,3,26750.0
221,21540,6,80022.0
293,27396,3,95950.0
294,28068,5,44380.0
295,24996,3,27982.1
296,20316,6,50830.0
297,29892,3,145128.0
299,32869,1,24990.0
301,31549,2,25960.0
302,28140,13,371917.0
305,28908,1,6590.0
306,28884,1,23490.0
309,14772,11,779040.0
310,20124,7,440067.2
311,28788,11,262883.0
313,28836,1,54825.0
315,30925,2,7960.0
316,30277,1,26991.0
317,1796,24,1455451.0
318,29556,3,25950.0
319,1764,15,159478.0
320,33109,2,23960.0
322,32341,2,4978.0
323,25116,7,227952.0
324,33877,3,52613.6
326,24204,26,1077490.6
327,34909,1,2990.0
329,31213,1,35990.0
331,18636,6,12463.0
332,34285,20,14168861.7
333,27324,1,4792.0
334,26820,1,5790.0
335,28284,1,2990.0
336,29412,21,1093856.8
338,31621,5,120250.0
339,7008,6,95434.0
341,30901,4,35120.0
342,34573,17,744100.0
343,31021,1,19990.0
344,30517,2,19180.0
347,3228,18,735901.76
348,26916,1,4290.0
350,30829,1,24990.0
353,26868,1,38990.0
355,28884,2,41960.0
356,33181,3,81950.0
358,28500,1,24990.0
359,1577,9,222869.0
361,32437,2,32760.0
363,34885,10,134980.0
364,4956,119,7341844.0
365,28332,2,13960.0
366,25428,2,24580.0
369,34333,4,40905.0
371,34981,4,145366.88
372,31909,2,19989.0
374,30949,1,3290.0
375,28332,1,3490.0
376,28020,6,113880.0
377,26412,7,178110.0
379,29316,3,50424.0
380,13932,2,13480.0
381,32869,8,301460.0
382,6326,4,77569.0
383,34909,2,16985.0
385,28596,2,57960.0
387,32509,4,109900.0
388,29556,8,224120.5
389,28020,1,7990.0
390,27420,10,302800.0
392,25788,2,5695.7
395,33853,2,23960.0
396,26436,23,882231.24
399,26604,10,205528.24
400,15924,7,39234.0
401,41509,1,4590.0
402,33277,7,60086.0
403,32845,4,45960.0
406,28572,1,18990.0
407,1572,28,822331.38
408,22116,4,30260.0
409,34021,7,140690.0
410,27948,1,2590.0
411,32437,1,1990.0
412,26460,1,17150.0
413,29484,2,77960.0
416,3142,8,151920.0
417,28932,3,139494.0
418,34477,6,225720.0
419,33397,1,11990.0
420,31117,1,16790.0
422,32437,17,396013.0
423,29412,1,39990.0
424,23220,3,44475.0
425,34765,1,2890.0
426,31429,1,18990.0
429,31837,1,1890.0
430,34045,2,31160.0
431,27396,2,36448.0
434,26244,4,164384.0
436,28884,5,581052.0
437,28812,9,519895.0
438,34141,4,50154.0
441,27180,1,45990.0
442,21865,13,247730.0
443,24108,4,15420.0
